Players,Teams,Goals scored,Total shots,Shots on Target,Assists,Interceptions,Crosses,Fouls committed,Offsides,Time Played
"Buffon
 (GK)",Juventus,0,0,0,0,0,0,0,0,90
Pogba,Juventus,0,2,1,0,0,0,2,0,90
Marchisio,Juventus,0,3,2,0,0,0,0,0,90
Morata,Juventus,1,3,1,0,0,0,0,0,85
Tévez,Juventus,0,4,2,1,0,0,2,0,90
Barzagli,Juventus,0,0,0,0,0,0,1,0,90
Bonucci,Juventus,0,0,0,0,0,0,1,0,90
Pirlo,Juventus,0,0,0,0,0,0,0,0,90
Vidal,Juventus,0,2,0,0,0,0,1,0,79
Lichtsteiner,Juventus,0,0,0,0,0,0,2,0,90
Evra,Juventus,0,0,0,0,0,0,0,0,89
"Storari
 (GK)",Juventus,0,0,0,0,0,0,0,0,0
Ogbonna,Juventus,0,0,0,0,0,0,0,0,0
Coman,Juventus,0,0,0,0,0,0,0,0,1
Llorente,Juventus,0,0,0,0,0,0,0,0,5
Padoin,Juventus,0,0,0,0,0,0,0,0,0
Sturaro,Juventus,0,0,0,0,0,0,0,0,0
Pereyra,Juventus,0,0,0,0,0,0,0,0,11
Massimiliano Allegri,Juventus(COACH),0,0,0,0,0,0,0,0,0
"Ter Stegen
 (GK)",Barcelona,0,0,0,0,0,0,0,0,90
Piqué,Barcelona,0,0,0,0,0,0,0,0,90
Rakitić,Barcelona,1,0,0,0,0,0,0,0,90
Sergio Busquets,Barcelona,0,0,0,0,0,0,0,0,90
Iniesta,Barcelona,0,0,0,1,0,0,0,0,78
Luis Suárez,Barcelona,1,0,0,0,0,0,0,0,90
Messi,Barcelona,0,0,0,1,0,0,0,0,90
Neymar,Barcelona,1,0,0,0,0,0,0,0,90
Mascherano,Barcelona,0,0,0,0,0,0,0,0,90
Jordi Alba,Barcelona,0,0,0,0,0,0,0,0,90
Dani Alves,Barcelona,0,0,0,0,0,0,0,0,90
"Bravo
 (GK)",Barcelona,0,0,0,0,0,0,0,0,0
Xavi Hernández,Barcelona,0,0,0,0,0,0,0,0,12
Pedro Rodríguez,Barcelona,0,0,0,1,0,0,0,0,5
Rafinha,Barcelona,0,0,0,0,0,0,0,0,0
Bartra,Barcelona,0,0,0,0,0,0,0,0,0
Adriano,Barcelona,0,0,0,0,0,0,0,0,0
Mathieu,Barcelona,0,0,0,0,0,0,0,0,6
Luis Enrique,Barcelona(COACH),0,0,0,0,0,0,0,0,0
"Casillas
 (GK)",Real Madrid,0,0,0,0,0,0,0,0,90
Varane,Real Madrid,0,0,0,0,0,0,0,0,90
Ramos,Real Madrid,0,0,0,0,0,0,0,0,90
Ronaldo,Real Madrid,1,0,0,0,0,0,0,0,90
Kroos,Real Madrid,0,0,0,0,0,0,0,0,90
Benzema,Real Madrid,0,0,0,0,0,0,0,0,67
James Rodríguez,Real Madrid,0,0,0,0,0,0,0,0,90
Bale,Real Madrid,0,0,0,0,0,0,0,0,90
Marcelo,Real Madrid,0,0,0,0,0,0,0,0,90
Carvajal,Real Madrid,0,0,0,0,0,0,0,0,90
Isco,Real Madrid,0,0,0,0,0,0,0,0,90
"Navas
 (GK)",Real Madrid,0,0,0,0,0,0,0,0,0
Pepe,Real Madrid,0,0,0,0,0,0,0,0,0
