,Unnamed: 0,Players,Teams,Goals scored,Total shots,Shots on Target,Assists,Interceptions,Crosses,Fouls committed,Offsides,Time Played
0,0,"Buffon
 (GK)",Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,Pogba,Juventus,0.0,0.14285714285714285,0.25,0.0,0.0,0.0,0.2857142857142857,0.0,1.0
2,2,Marchisio,Juventus,0.0,0.21428571428571427,0.5,0.0,0.0,0.0,0.0,0.0,1.0
3,3,Morata,Juventus,1.0,0.21428571428571427,0.25,0.0,0.0,0.0,0.0,0.0,0.9444444444444445
4,4,Tévez,Juventus,0.0,0.2857142857142857,0.5,0.3333333333333333,0.0,0.0,0.2857142857142857,0.0,1.0
5,5,Barzagli,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,1.0
6,6,Bonucci,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,1.0
7,7,Pirlo,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,8,Vidal,Juventus,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.8777777777777778
9,9,Lichtsteiner,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,1.0
10,10,Evra,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9888888888888889
11,11,"Storari
 (GK)",Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,Ogbonna,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,Coman,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011111111111111112
14,14,Llorente,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555556
15,15,Padoin,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,Sturaro,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,Pereyra,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12222222222222223
18,18,Massimiliano Allegri,Juventus(COACH),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,"Ter Stegen
 (GK)",Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,20,Piqué,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,21,Rakitić,Barcelona,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,22,Sergio Busquets,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23,23,Iniesta,Barcelona,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.8666666666666667
24,24,Luis Suárez,Barcelona,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25,25,Messi,Barcelona,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0
26,26,Neymar,Barcelona,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,27,Mascherano,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,28,Jordi Alba,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,29,Dani Alves,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,30,"Bravo
 (GK)",Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,31,Xavi Hernández,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333
32,32,Pedro Rodríguez,Barcelona,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.05555555555555556
33,33,Rafinha,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,34,Bartra,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,35,Adriano,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,36,Mathieu,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
37,37,Luis Enrique,Barcelona(COACH),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,38,"Casillas
 (GK)",Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,39,Varane,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40,40,Ramos,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41,41,Ronaldo,Real Madrid,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
42,42,Kroos,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
43,43,Benzema,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7444444444444445
44,44,James Rodríguez,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
